"","X","adult","belongs_to_collection","budget","Genre_1","Genre_2","Genre_3","Genre_4","Genre_5","Genre_6","Genre_7","Genre_8","Genre_9","Genre_10","homepage","id","imdb_id","original_language","original_title","overview","popularity","poster_path","Production_Company_1","Production_Company_2","Production_Company_3","Production_Company_4","Production_Company_5","Production_Company_6","Production_Company_7","Production_Company_8","Production_Company_9","Production_Company_10","Production_Company_11","Production_Company_12","Production_Company_13","Production_Company_14","Production_Company_15","Production_Company_16","Production_Company_17","Production_Company_18","Production_Company_19","Production_Company_20","Production_Company_21","Production_Company_22","Production_Company_23","Production_Company_24","Production_Company_25","Production_Company_26","Production_Company_27","Production_Countries_1","Production_Countries_2","Production_Countries_3","Production_Countries_4","Production_Countries_5","Production_Countries_6","Production_Countries_7","Production_Countries_8","Production_Countries_9","Production_Countries_10","Production_Countries_11","Production_Countries_12","Production_Countries_13","Production_Countries_14","Production_Countries_15","Production_Countries_16","Production_Countries_17","Production_Countries_18","Production_Countries_19","Production_Countries_20","Production_Countries_21","Production_Countries_22","Production_Countries_23","Production_Countries_24","Production_Countries_25","Production_Countries_26","release_date","revenue","runtime","Spoken_Language_1","Spoken_Language_2","Spoken_Language_3","Spoken_Language_4","Spoken_Language_5","Spoken_Language_6","Spoken_Language_7","Spoken_Language_8","Spoken_Language_9","Spoken_Language_10","Spoken_Language_11","Spoken_Language_12","Spoken_Language_13","Spoken_Language_14","Spoken_Language_15","Spoken_Language_16","Spoken_Language_17","Spoken_Language_18","Spoken_Language_19","Spoken_Language_20","status","tagline","title","video","vote_average","vote_count","profit","movies.data$id"
"1",1,FALSE,"Toy Story Collection",3e+07,"Animation","Comedy","Family",NA,NA,NA,NA,NA,NA,NA,"http://toystory.disney.com/toy-story","862","tt0114709","en","Toy Story","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","21.946943","/rhIRbceoE9lR4veEXuwCC2wARtG.jpg","Pixar Animation Studios",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-10-30,373554033,81,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","","Toy Story",FALSE,7.7,5415,343554033,"862"
"2",2,FALSE,"",6.5e+07,"Adventure","Fantasy","Family",NA,NA,NA,NA,NA,NA,NA,"","8844","tt0113497","en","Jumanji","When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.","17.015539","/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg","TriStar Pictures","Teitler Film","Interscope Communications",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-12-15,262797249,104,"English"," Français",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Roll the dice and unleash the excitement!","Jumanji",FALSE,6.9,2413,197797249,"8844"
"4",4,FALSE,"",1.6e+07,"Comedy","Drama","Romance",NA,NA,NA,NA,NA,NA,NA,"","31357","tt0114885","en","Waiting to Exhale","Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.","3.859495","/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg","Twentieth Century Fox Film Corporation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-12-22,81452156,127,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Friends are the people who let you be yourself... and never let you forget it.","Waiting to Exhale",FALSE,6.1,34,65452156,"31357"
"6",6,FALSE,"",6e+07,"Action","Crime","Drama","Thriller",NA,NA,NA,NA,NA,NA,"","949","tt0113277","en","Heat","Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.","17.924927","/zMyfPUelumio3tiDKPffaUpsQTD.jpg","Regency Enterprises","Forward Pass","Warner Bros.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-12-15,187436818,170,"English"," Español",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","A Los Angeles Crime Saga","Heat",FALSE,7.7,1886,127436818,"949"
"9",9,FALSE,"",3.5e+07,"Action","Adventure","Thriller",NA,NA,NA,NA,NA,NA,NA,"","9091","tt0114576","en","Sudden Death","International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...","5.23158","/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg","Universal Pictures","Imperial Entertainment","Signature Entertainment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-12-22,64350171,106,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Terror goes into overtime.","Sudden Death",FALSE,5.5,174,29350171,"9091"
"10",10,FALSE,"James Bond Collection",5.8e+07,"Adventure","Action","Thriller",NA,NA,NA,NA,NA,NA,NA,"http://www.mgm.com/view/movie/757/Goldeneye/","710","tt0113189","en","GoldenEye","James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.","14.686036","/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg","United Artists","Eon Productions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United Kingdom"," United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-11-16,352194034,130,"English"," Pусский"," Español",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","No limits. No fears. No substitutes.","GoldenEye",FALSE,6.6,1194,294194034,"710"
"11",11,FALSE,"",6.2e+07,"Comedy","Drama","Romance",NA,NA,NA,NA,NA,NA,NA,"","9087","tt0112346","en","The American President","Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.","6.318445","/lymPNGLZgPHuqM29rKMGV46ANij.jpg","Columbia Pictures","Castle Rock Entertainment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-11-17,107879496,106,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Why can't the most powerful man in the world have the one thing he wants most?","The American President",FALSE,6.5,199,45879496,"9087"
"14",14,FALSE,"",4.4e+07,"History","Drama",NA,NA,NA,NA,NA,NA,NA,NA,"","10858","tt0113987","en","Nixon","An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.","5.092","/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg","Hollywood Pictures","Cinergi Pictures Entertainment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-12-22,13681765,192,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.","Nixon",FALSE,7.1,72,-30318235,"10858"
"15",15,FALSE,"",9.8e+07,"Action","Adventure",NA,NA,NA,NA,NA,NA,NA,NA,"","1408","tt0112760","en","Cutthroat Island","Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.","7.284477","/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg","Le Studio Canal+","Laurence Mark Productions","Metro-Goldwyn-Mayer (MGM)","Carolco Pictures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"France"," Germany"," Italy"," United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-12-22,10017322,119,"English"," Latin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!","Cutthroat Island",FALSE,5.7,137,-87982678,"1408"
"16",16,FALSE,"",5.2e+07,"Drama","Crime",NA,NA,NA,NA,NA,NA,NA,NA,"","524","tt0112641","en","Casino","The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.","10.137389","/xo517ibXBDdYQY81j0WIG7BVcWq.jpg","Universal Pictures","Légende Entreprises","Syalis DA","De Fina-Cappa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"France"," United States of America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-11-22,116112375,178,"English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Released","No one stays at the top forever.","Casino",FALSE,7.8,1343,64112375,"524"
